"FITC-A","Texas Red-A"
1153.74,3585.86
463.3,4690.4
9540.7,4974.12
66.42,193.52
105067,92150.8
56290.5,51669
103.32,246
1857.3,7676.02
53.3,207.46
38.54,119.72
61.5,172.2
486.26,18363.1
24345.8,38669.6
111.52,277.16
979.9,23146.1
55865.8,68029.7
101.68,421.48
72.16,185.32
2817.52,2284.52
1038.94,1059.44
202952,238680
53084.3,52443.9
71344.9,57407.4
37.72,186.96
169.74,2031.96
262143,262143
40837.6,44464.5
104.14,204.18
7452.16,44475.2
378.02,932.34
2466.56,26231
2215.64,8826.48
106.6,243.54
64456.9,77039.8
168.92,427.22
85.28,143.5
93.48,234.52
68.88,178.76
85.28,224.68
110.7,195.98
102287,98313.1
10836.3,8943.74
43772.4,50105.3
1704.78,3241.46
50882.6,33840.6
4040.14,21072.4
92822.4,83618.7
392.78,894.62
13298.8,27894.8
68.06,213.2
178.76,282.9
40812.2,84296
87183.2,102613
81.18,278.8
2019.66,25509.4
132.84,382.12
21043.7,12799.4
90.2,451
20965.8,33116.5
10026.1,6380.42
743.74,1308.72
72.98,142.68
341.12,4835.54
55502.5,72664.3
94.3,183.68
151221,124000
33125.5,33686.4
120182,101838
1861.4,38071
268.96,9852.3
261.58,296.84
805.24,8583.76
211.56,260.76
889.7,15331.5
157448,153406
201504,262143
1239.02,2839.66
197.62,626.48
14724.7,17850.6
162.36,351.78
821.64,20510.7
119.72,190.24
308.32,1629.34
214139,214067
71281.8,76478.1
22872.3,24763.2
2127.9,17248.7
46.74,149.24
157.44,283.72
573.18,11635.8
7880.2,61880.5
326.36,8559.98
177.94,4126.24
100.04,245.18
18.86,100.04
2927.4,16931.4
85.28,180.4
72.16,182.04
214.02,335.38
9.84,170.56
21761.2,11461.1
100010,108539
45.92,166.46
24205.6,36932
52.48,179.58
1581.78,2073.78
14633.7,39283.7
-22.96,44.28
255454,262143
4151.66,27174.8
2.46,93.48
1248.04,1304.62
2233.68,23964.5
26.24,143.5
277.16,218.12
60.68,235.34
2116.42,18297.5
96.76,165.64
3387.42,7371.8
141.04,399.34
149.24,256.66
109.88,392.78
301.76,599.42
661.74,3017.6
91.84,174.66
29948,21693.1
418.2,11093
60.68,198.44
69.7,184.5
77.9,207.46
591.22,18891.2
76802.8,98072.8
2301.74,31911.1
13487.4,28788.6
262143,215896
55.76,189.42
93.48,178.76
2231.22,15302.8
205.82,2168.08
476.42,1579.32
53.3,200.9
71.34,134.48
137.76,320.62
90.2,248.46
3801.52,16210.6
87.74,1601.46
520.7,11630.1
284.54,824.92
673.22,2817.52
4974.94,2135.28
1989.32,2202.52
101.68,195.98
49892.1,39772.5
9823.6,21349.5
70.52,273.06
92.66,253.38
235451,262143
180.4,313.24
516.6,738.82
76.26,314.88
233.7,1725.28
879.86,4965.1
478.88,543.66
35.26,118.9
154.16,328.82
879.86,556.78
2800.3,28871.4
262143,262143
448.54,4185.28
1111.1,21221.6
79.54,129.56
444.44,7178.28
83.64,293.56
155127,152100
88.56,195.16
168.92,4168.06
72.16,555.14
17.22,127.92
67.24,213.2
1412.04,1116.02
1000.4,20449.2
127.92,349.32
86.1,211.56
1325.94,12838.7
77.08,205.82
104.14,226.32
130.38,269.78
67731.2,69209.6
154203,118526
245.18,541.2
79052.1,83805.6
2519.86,30499.1
52.48,153.34
69501.6,35378.9
29405.2,43388.7
2525.6,35697.9
90.2,282.08
70.52,327.18
71.34,118.08
108.24,303.4
92.66,258.3
287,2727.32
97807.1,93335.7
599.42,12549.3
104998,103436
164.82,2108.22
1296.42,16057.2
1738.4,7612.06
147.6,283.72
318.98,1012.7
221.4,2947.9
131.2,279.62
159.08,283.72
178.76,282.9
85.28,116.44
128.74,263.22
881.5,622.38
114.8,197.62
134.48,226.32
43740.4,51929.8
1699.04,30145.7
84.46,128.74
569.9,16190.1
226.32,2305.02
110.7,236.16
261.58,5505.48
28911.6,23616.8
109159,103471
14291,31513.4
381.3,1035.66
434.6,1605.56
262143,262143
75.44,337.84
39.36,119.72
88.56,244.36
56288.9,64171.6
118.08,183.68
50.84,171.38
55.76,151.7
