Comp-FITC-A,Comp-Texas Red-A,
275,255,1.078431373
405,583,0.694682676
299,270,1.107407407
310,264,1.174242424
302,239,1.263598326
370,547,0.676416819
882,744,1.185483871
272,256,1.0625
1023,909,1.125412541
367,266,1.379699248
257,360,0.713888889
271,256,1.05859375
813,648,1.25462963
417,654,0.637614679
257,243,1.057613169
246,239,1.029288703
765,717,1.066945607
703,817,0.860465116
271,259,1.046332046
673,377,1.785145889
275,255,1.078431373
267,249,1.072289157
947,812,1.166256158
282,264,1.068181818
378,267,1.415730337
876,789,1.11026616
257,244,1.053278689
315,356,0.884831461
282,523,0.539196941
953,824,1.156553398
744,625,1.1904
269,352,0.764204545
273,525,0.52
974,824,1.182038835
266,250,1.064
270,251,1.075697211
267,246,1.085365854
914,720,1.269444444
442,596,0.741610738
435,597,0.728643216
1003,783,1.280970626
274,374,0.732620321
266,248,1.072580645
317,522,0.607279693
1022,992,1.030241935
1023,942,1.085987261
645,476,1.355042017
259,251,1.03187251
272,248,1.096774194
262,244,1.073770492
279,274,1.018248175
932,809,1.152039555
1023,918,1.114379085
406,567,0.716049383
254,245,1.036734694
237,241,0.98340249
433,646,0.670278638
242,237,1.021097046
1022,954,1.071278826
286,246,1.162601626
633,754,0.839522546
266,259,1.027027027
257,251,1.023904382
279,260,1.073076923
874,768,1.138020833
939,780,1.203846154
499,344,1.450581395
350,275,1.272727273
262,244,1.073770492
849,701,1.211126961
251,240,1.045833333
251,246,1.020325203
292,283,1.03180212
424,457,0.927789934
266,258,1.031007752
323,506,0.638339921
1023,903,1.132890365
241,237,1.016877637
907,709,1.279266573
276,261,1.057471264
281,265,1.060377358
460,625,0.736
709,480,1.477083333
247,247,1
242,240,1.008333333
258,251,1.027888446
564,303,1.861386139
990,828,1.195652174
271,249,1.088353414
248,238,1.042016807
891,651,1.368663594
503,751,0.669773635
365,626,0.583067093
265,247,1.072874494
542,381,1.422572178
404,639,0.632237872
334,609,0.548440066
262,319,0.821316614
273,250,1.092
828,661,1.252647504
264,353,0.747875354
248,241,1.029045643
816,582,1.402061856
251,242,1.037190083
892,733,1.21691678
711,640,1.1109375
937,768,1.220052083
244,243,1.004115226
712,672,1.05952381
320,320,1
899,713,1.260869565
292,353,0.827195467
485,483,1.004140787
263,252,1.043650794
290,258,1.124031008
826,601,1.37437604
293,532,0.55075188
249,239,1.041841004
275,267,1.029962547
459,621,0.739130435
264,249,1.060240964
242,233,1.038626609
840,754,1.114058355
245,239,1.025104603
300,385,0.779220779
260,245,1.06122449
533,619,0.861066236
279,257,1.085603113
293,269,1.089219331
257,242,1.061983471
370,299,1.237458194
263,246,1.069105691
284,252,1.126984127
270,248,1.088709677
254,407,0.624078624
1023,855,1.196491228
334,275,1.214545455
276,247,1.117408907
554,499,1.110220441
249,238,1.046218487
419,462,0.906926407
484,454,1.066079295
261,253,1.031620553
243,237,1.025316456
469,623,0.752808989
263,470,0.559574468
265,256,1.03515625
252,240,1.05
573,694,0.825648415
253,241,1.049792531
605,798,0.758145363
946,793,1.192938209
276,252,1.095238095
244,237,1.029535865
455,321,1.417445483
251,245,1.024489796
406,337,1.204747774
396,492,0.804878049
1023,905,1.13038674
732,637,1.149136578
277,260,1.065384615
837,692,1.209537572
245,237,1.033755274
970,805,1.204968944
254,240,1.058333333
285,287,0.993031359
260,246,1.056910569
1023,908,1.126651982
256,243,1.053497942
246,238,1.033613445
1018,860,1.18372093
503,561,0.896613191
298,262,1.13740458
814,555,1.466666667
604,349,1.730659026
655,619,1.05815832
603,632,0.954113924
245,243,1.008230453
885,572,1.547202797
407,473,0.860465116
274,255,1.074509804
250,245,1.020408163
319,273,1.168498168
247,244,1.012295082
749,597,1.254606365
275,269,1.022304833
586,655,0.894656489
273,238,1.147058824
251,282,0.890070922
765,808,0.946782178
395,613,0.644371941
247,239,1.033472803
301,305,0.986885246
314,282,1.113475177
606,728,0.832417582
258,246,1.048780488
255,246,1.036585366
267,489,0.54601227
275,267,1.029962547
747,570,1.310526316
512,730,0.701369863
253,244,1.036885246
301,275,1.094545455
816,741,1.101214575
939,734,1.279291553
413,319,1.294670846
1023,934,1.095289079
257,242,1.061983471
262,246,1.06504065
276,261,1.057471264
256,244,1.049180328
504,483,1.043478261
269,249,1.080321285
263,247,1.064777328
242,237,1.021097046
580,642,0.903426791
290,268,1.082089552
797,548,1.454379562
778,644,1.208074534
261,241,1.082987552
256,252,1.015873016
262,327,0.801223242
260,249,1.044176707
252,249,1.012048193
257,243,1.057613169
962,741,1.298245614
287,419,0.6849642
762,307,2.482084691
245,246,0.995934959
276,248,1.112903226
264,248,1.064516129
323,298,1.083892617
1023,871,1.174512055
253,245,1.032653061
242,235,1.029787234
302,448,0.674107143
463,391,1.184143223
268,249,1.076305221
1022,1014,1.007889546
242,235,1.029787234
275,239,1.150627615
314,396,0.792929293
256,266,0.962406015
