"Comp-FL03-A :: FITC-A","Comp-FL15-A :: mCherry-A"
62237.5,72361.8
82808.2,141737
100654,83150.4
26065.6,40263
22316.3,43170.7
45062,64721.8
82564.9,68452.8
12961.2,30772.9
19246.7,33540.5
19535.7,114112
13552.7,29690.5
41138,117852
79008.3,66695.3
16580.4,33626.2
24383.8,22095
62351.2,96240.7
55389.4,33498.4
13387.6,45675.5
52505.8,92092.3
57921.4,169216
51998.8,64654.6
81920.8,58824.1
11811.2,23591.2
60868.7,43025.7
15843.9,31561
66028.6,83159.5
13480.7,51760.3
14977.2,22384.2
54718.1,82808
18455.5,32004.9
17713.8,67008.6
14997,28419.5
33670.3,92130.8
75594.2,64411.5
22143.5,17757.8
169246,185537
47743.5,97683
12723,64271.2
29048,57386.5
11379.6,38238
20048.3,84923.8
72260.5,80144.3
101389,61644.1
25768.7,50362.8
121997,133156
121423,106151
16719.3,74845.3
84800.4,106097
13286.3,58993.9
140315,189571
89021,137359
166956,169724
63118.9,54412.4
52939.3,102387
60048.8,93000.1
37555.8,30842.4
170087,174590
28569.1,39974.6
23037.2,70018.5
54297.5,75401.8
40564.8,61200.8
12418.2,34688.3
23665.7,29105.4
20677.9,22910.6
82460.9,55017.7
21789,76005.3
52259.3,34215.8
78568.7,138206
66707.8,99946.8
62928,121018
19316.5,29244.9
12368.9,58198.4
20010.2,63001.8
11388.6,100814
138102,117605
96946.5,102801
38387.6,44668.6
128645,166971
99586.1,130467
58944.4,74099.6
41806.8,123276
62763.5,105441
17624.3,38965.6
12464.7,58626.2
101234,107572
13852.5,26399.9
89211.6,88205.2
55241.4,128076
52210.1,42615.8
32411.2,109142
184625,157150
88900.6,104588
14267.6,40641.9
107862,143691
19419.4,53103.1
145817,133237
76552.4,72311.1
61513.8,86142.9
125107,182223
14015.7,20767
15128.6,47236
55426.5,74959.3
65345.9,95374.4
35180.7,105473
132985,111853
52237.4,25450
24294.3,42311.1
25827.1,29099.9
115326,104380
35864.9,28316
18830.8,31379.4
18461.4,68726.9
107184,159014
79933.4,124045
54007.1,81003.6
37482,82023.8
36520.2,44188.5
31687.8,17624.3
28557.2,22851.9
54449.8,99287.4
124070,127851
93018.6,71424.7
11404.2,49835.8
50464.4,115283
54760.6,39480.2
22115.5,96485.6
21072.1,78177.2
25850.8,100105
36964.6,53141.9
23135.7,139616
12010.3,102338
121498,191903
115370,101735
21518,24761.1
24376.2,67949.2
20898.2,18348.3
43806.9,105050
48939.5,45178.1
66169,103367
104440,87456.1
21041.7,58746.1
44853.9,71721.3
91689.9,80676.4
15366.7,50788.1
114239,108786
56778.6,131146
38820.3,49445.6
19007.4,30077.9
97837.7,63548.1
34754.8,81103.2
73141,135156
42388.2,69261.5
61728.3,76429
53062.6,61242.3
46526.8,62868.3
159302,113622
35481.7,91451.9
99769.6,54446.1
82015.9,132535
143968,173678
12616.1,59076.6
66949.2,163919
55253.6,120801
28718.5,34256.9
53979.7,55213.1
139964,142261
44256.3,40589.2
23295,33707.1
47534.5,100883
24028.9,24354.3
19692.6,44642.2
69049.9,130243
36738.7,129147
53531.8,30219.4
15064.4,34477.4
18915.7,47642.6
31147.6,94244.6
132707,172158
21355,97274.7
59742.2,77254.1
64091.3,191739
139944,120307
45060.6,131821
41727.1,118076
31514.2,143492
29662.5,19213
37603.7,87188.6
14778.9,86681.7
20121.4,54553.5
33931.6,122870
56657.8,98344.9
30399.6,18712.9
23527.5,42994.9
138048,130574
110502,156313
130622,93613.3
42708.4,115260
41690.7,44912.6
106765,115280
108348,80769.9
71563.9,103949
49593.7,57812.1
26964.2,58413.4
63424,89506.7
29201,48777.2
20738.3,58188
79279.1,75190.8
151881,85110.2
38060,89047.8
15695.2,67606
18722.7,49181
28774.7,49697.9
30424.3,58675.9
14571.6,90847
56734,45851.4
19799.3,108703
93766.8,52000.9
64794.5,45967.9
12840.9,20987.9
33315.5,39250.8
55754.6,120351
16438.9,80298
56431.7,56491.4
50933.3,100756
24141.7,25762.2
86500.5,76788.4
16457.8,57823.8
141231,183124
28284.8,29470
69403.1,98145.2
50187.1,33948.1
11092.2,58901.7
64885.5,120292
75316,64449
70210.6,66239.9
25131.5,46750.1
91928.6,132377
105816,130373
18655.2,22957.3
23962.1,141302
13339,68353.1
165512,169491
104437,131017
121225,144785
63435.3,73512.7
24034.8,26682.7
30327.9,64486.3
97422.9,78708.3
33619.4,91617.4
43054.6,116859
88561.4,81723.4
27771.2,90130.2
44728.8,86985.3
21096.1,33655.9
28269,130547
79922.4,145540
49323.9,137024
89593.1,170034
106289,154912
88402.8,94812.7
156527,170380
107159,113325
23553,72560.2
38356.1,73842.5
80265,51582.6
38251.8,53372.5
70315.2,131046
23698.5,27107.3
100570,189261
155250,139389
48811.9,129940
46331,145049
57430.2,36283.9
34446.2,85756.7
57487.7,33231.8
22134.2,43301.2
49475.8,61092.6
37264.7,45079.1
88324.3,99529.4
14002.7,88654.9
24525.9,106187
16818.6,17837.2
124123,75885.7
11934.3,106166
129287,100549
15269.6,63073.4
28016.9,46945.2
173541,187336
158258,154953
86495.8,85209.9
17721.6,20588.2
48380.4,55131
19754.7,86938.4
53714.9,38634.9
39584.8,67935.1
146880,124036
11818.5,41927.1
16629,26356.9
109208,128339
30705.8,46235.5
18764.4,34820.1
11383.1,41292.6
11490.8,23635.3
14199.3,92862.7
23989.7,50137.9
20388,21817.3
36760.6,102700
26875.6,17732.4
92948.4,125025
49475.4,38801.1
24686.5,46057.6
40167.7,65734.2
173845,179836
16497.3,80302.6
66994.2,103260
25505.4,35555.9
16725.7,39318.1
20274.9,27643.4
52575.8,31814.7
58784.5,49563.9
58377,39270.9
67826.1,123936
17393.6,95928.3
38810.8,76317.5
77374.5,46224.8
75228.1,116041
19820.8,70075.3
43090,31456.7
17039.1,80936.4
37617.4,107421
40660.6,47241.3
16285.1,51693
19701.8,36399.3
12176.2,32586
128780,160077
48757.7,85794.4
41552.5,154313
52683.6,69363.2
14288.2,34574.7
15931.2,27496.4
171929,184497
133968,98374.1
71265.7,79505.1
51018.5,65564.3
21668.7,31366.1
60656.4,33173.5
130894,153835
50388.8,137783
60903.7,85021.1
123836,137421
27414.5,62762.1
174243,183293
